transaction_date,merchant,amount,category,transaction_type,status,bonus_value
2025-07-04,Продавец 23,94.04,Категория 4,Пополнение,Выполнен,4.66
2025-07-06,Продавец 10,557.26,Категория 12,Пополнение,Выполнен,25.81
2025-07-07,Продавец 29,37.51,Категория 5,Пополнение,Выполнен,1.28
2025-07-08,Продавец 10,355.97,Категория 21,Пополнение,Выполнен,14.53
2025-07-08,Продавец 18,773.53,Категория 1,Пополнение,Выполнен,33.4
2025-07-09,Продавец 30,662.82,Категория 17,Пополнение,в обработке,32.64
2025-07-14,Продавец 37,99.66,Категория 1,Списание,Выполнен,0.0
2025-07-15,Продавец 16,242.08,Категория 4,Списание,Выполнен,10.92
2025-07-15,Продавец 19,324.44,Категория 4,Списание,Выполнен,0.0
2025-07-15,Продавец 9,601.87,Категория 2,Списание,Выполнен,16.24
2025-07-16,Продавец 27,347.65,Категория 3,Списание,Выполнен,14.9
2025-07-16,Продавец 20,239.98,Категория 4,Списание,Выполнен,0.0
2025-07-16,Продавец 8,306.61,Категория 1,Списание,Выполнен,8.41
2025-07-17,Продавец 15,188.82,Категория 1,Списание,Выполнен,0.0
2025-07-17,Продавец 9,97.76,Категория 1,Списание,Выполнен,0.0
2025-07-17,Продавец 37,318.69,Категория 1,Списание,Выполнен,15.65
2025-07-18,Продавец 7,69.85,Категория 4,Списание,Выполнен,1.66
2025-07-21,Продавец 10,153.64,Категория 2,Списание,Выполнен,7.28
2025-07-21,Продавец 10,465.75,Категория 4,Списание,в обработке,0.0
2025-07-23,Продавец 31,113.04,Категория 3,Пополнение,Выполнен,4.73
2025-07-26,Продавец 8,240.38,Категория 2,Списание,Выполнен,0.0
2025-08-02,Продавец 4,89.13,Категория 2,Списание,Выполнен,3.98
2025-08-02,Продавец 25,142.58,Категория 1,Списание,Выполнен,0.0
2025-08-04,Продавец 5,171.1,Категория 4,Списание,Выполнен,6.1
2025-08-05,Продавец 17,300.28,Категория 1,Пополнение,Выполнен,0.0
2025-08-06,Продавец 22,298.38,Категория 3,Списание,Выполнен,5.99
2025-08-08,Продавец 27,334.43,Категория 2,Списание,Выполнен,14.05
2025-08-08,Продавец 20,210.06,Категория 4,Списание,Выполнен,5.63
2025-08-09,Продавец 27,329.79,Категория 24,Списание,Выполнен,0.0
2025-08-09,Продавец 22,67.22,Категория 5,Списание,Выполнен,0.0
2025-08-09,Продавец 10,59.05,Категория 1,Списание,Выполнен,2.67
2025-08-10,Продавец 36,250.52,Категория 3,Списание,Выполнен,11.79
2025-08-11,Продавец 6,384.0,Категория 5,Списание,Выполнен,18.19
2025-08-11,Продавец 3,289.52,Категория 1,Списание,в обработке,9.82
2025-08-12,Продавец 16,163.16,Категория 2,Списание,Выполнен,8.09
2025-08-12,Продавец 10,181.28,Категория 3,Списание,Выполнен,5.19
2025-08-12,Продавец 8,99.33,Категория 1,Списание,Выполнен,0.0
2025-08-13,Продавец 36,159.07,Категория 5,Списание,Выполнен,0.0
2025-08-14,Продавец 24,200.16,Категория 1,Списание,Выполнен,0.0
2025-08-14,Продавец 28,69.84,Категория 2,Списание,Выполнен,2.22
2025-08-14,Продавец 33,197.01,Категория 16,Списание,Выполнен,7.01
2025-08-14,Продавец 39,205.66,Категория 4,Списание,Выполнен,7.77
2025-08-15,Продавец 24,380.3,Категория 21,Списание,Выполнен,0.0
2025-08-15,Продавец 17,81.39,Категория 1,Списание,Выполнен,2.62
2025-08-15,Продавец 6,725.24,Категория 4,Списание,Выполнен,0.0
2025-08-15,Продавец 21,242.98,Категория 2,Пополнение,Выполнен,10.11
2025-08-16,Продавец 12,940.93,Категория 4,Списание,Выполнен,0.0
2025-08-18,Продавец 37,92.21,Категория 5,Списание,в обработке,3.15
2025-08-18,Продавец 12,344.55,Категория 2,Списание,Выполнен,7.38
2025-08-20,Продавец 5,116.37,Категория 1,Списание,Выполнен,3.61
2025-08-20,Продавец 30,339.95,Категория 1,Списание,Выполнен,8.09
2025-08-21,Продавец 37,159.13,Категория 4,Списание,Выполнен,6.72
2025-08-21,Продавец 30,542.61,Категория 1,Списание,Выполнен,0.0
2025-08-23,Продавец 5,76.27,Категория 16,Пополнение,в обработке,0.0
2025-08-23,Продавец 1,218.06,Категория 23,Списание,Выполнен,0.0
2025-08-24,Продавец 26,111.27,Категория 2,Пополнение,в обработке,0.0
2025-08-24,Продавец 6,210.46,Категория 4,Списание,Выполнен,4.47
2025-08-25,Продавец 4,672.92,Категория 1,Пополнение,Выполнен,0.0
2025-08-25,Продавец 24,530.51,Категория 5,Списание,Выполнен,0.0
2025-08-26,Продавец 12,169.96,Категория 3,Пополнение,Выполнен,0.0
2025-08-26,Продавец 35,268.18,Категория 1,Списание,Выполнен,6.58
2025-09-01,Продавец 9,339.74,Категория 3,Списание,в обработке,14.0
2025-09-01,Продавец 5,957.84,Категория 1,Списание,Выполнен,29.73
2025-09-01,Продавец 30,320.26,Категория 1,Списание,Выполнен,0.0
2025-09-02,Продавец 39,846.83,Категория 5,Списание,Выполнен,25.55
2025-09-02,Продавец 3,139.92,Категория 1,Списание,Выполнен,0.0
2025-09-03,Продавец 20,140.43,Категория 5,Списание,Выполнен,0.0
2025-09-03,Продавец 25,128.05,Категория 4,Списание,Выполнен,5.75
2025-09-06,Продавец 18,221.62,Категория 1,Списание,Выполнен,6.61
2025-09-07,Продавец 28,530.58,Категория 4,Списание,Выполнен,16.45
2025-09-07,Продавец 24,245.08,Категория 4,Списание,Выполнен,0.0
2025-09-11,Продавец 24,107.13,Категория 2,Списание,Выполнен,2.29
2025-09-11,Продавец 22,147.25,Категория 2,Списание,Выполнен,5.89
2025-09-12,Продавец 28,59.87,Категория 21,Списание,Выполнен,2.43
2025-09-13,Продавец 21,473.21,Категория 1,Списание,Выполнен,14.27
2025-09-14,Продавец 4,235.18,Категория 4,Списание,в обработке,7.75
2025-09-16,Продавец 27,144.15,Категория 4,Пополнение,Выполнен,3.62
2025-09-18,Продавец 1,399.98,Категория 2,Списание,в обработке,0.0
2025-09-18,Продавец 30,368.91,Категория 1,Пополнение,Выполнен,0.0
2025-09-19,Продавец 18,256.82,Категория 1,Списание,Выполнен,6.66
2025-09-20,Продавец 8,101.17,Категория 4,Списание,Выполнен,0.0
2025-09-20,Продавец 7,202.49,Категория 8,Списание,Выполнен,0.0
2025-09-21,Продавец 30,70.28,Категория 2,Списание,Выполнен,2.69
2025-09-22,Продавец 19,69.8,Категория 5,Списание,Выполнен,0.0
2025-09-24,Продавец 14,274.99,Категория 5,Списание,Выполнен,9.63
2025-10-01,Продавец 17,165.12,Категория 1,Списание,Выполнен,3.55
2025-10-01,Продавец 33,164.89,Категория 2,Списание,Выполнен,5.08
2025-10-02,Продавец 8,350.72,Категория 4,Списание,Выполнен,13.6
2025-10-04,Продавец 24,446.5,Категория 5,Списание,в обработке,0.0
2025-10-04,Продавец 14,72.83,Категория 2,Списание,Выполнен,2.63
2025-10-05,Продавец 34,473.13,Категория 1,Списание,Выполнен,21.2
2025-10-08,Продавец 32,426.55,Категория 5,Списание,Выполнен,15.99
2025-10-10,Продавец 1,224.98,Категория 2,Списание,Выполнен,6.76
2025-10-10,Продавец 6,388.36,Категория 1,Списание,Выполнен,10.63
2025-10-10,Продавец 32,66.9,Категория 1,Списание,Выполнен,1.92
2025-10-11,Продавец 30,664.48,Категория 3,Списание,Выполнен,28.39
2025-10-11,Продавец 34,316.79,Категория 3,Списание,Выполнен,0.0
2025-10-12,Продавец 35,202.9,Категория 3,Списание,Выполнен,0.0
2025-10-12,Продавец 9,90.21,Категория 2,Списание,в обработке,2.44
2025-10-12,Продавец 26,129.34,Категория 4,Пополнение,Выполнен,2.74
2025-10-14,Продавец 29,199.7,Категория 5,Списание,Выполнен,0.0
2025-10-15,Продавец 39,240.19,Категория 4,Списание,Выполнен,8.99
2025-10-17,Продавец 5,264.52,Категория 1,Списание,Выполнен,0.0
2025-10-18,Продавец 19,78.12,Категория 3,Списание,Выполнен,2.55
2025-10-19,Продавец 10,75.42,Категория 2,Списание,Выполнен,2.83
2025-10-19,Продавец 24,273.67,Категория 5,Списание,Выполнен,0.0
2025-10-22,Продавец 25,97.51,Категория 7,Списание,Выполнен,3.43
2025-10-22,Продавец 11,579.56,Категория 5,Списание,Выполнен,18.52
2025-10-22,Продавец 6,638.3,Категория 1,Списание,Выполнен,31.83
2025-10-22,Продавец 13,82.42,Категория 1,Списание,в обработке,2.79
2025-10-23,Продавец 3,384.89,Категория 1,Списание,Выполнен,0.0
2025-10-23,Продавец 21,381.79,Категория 6,Списание,Выполнен,0.0
2025-10-25,Продавец 2,156.24,Категория 5,Списание,Выполнен,0.0
2025-10-25,Продавец 32,208.02,Категория 5,Пополнение,Выполнен,5.1
2025-10-25,Продавец 18,250.24,Категория 5,Списание,в обработке,5.68
2025-10-27,Продавец 34,218.52,Категория 1,Списание,Выполнен,0.0
2025-10-27,Продавец 13,1540.21,Категория 4,Списание,Выполнен,53.84
2025-11-02,Продавец 7,327.54,Категория 2,Списание,в обработке,11.58
2025-11-02,Продавец 27,129.8,Категория 3,Списание,Выполнен,5.95
2025-11-04,Продавец 39,1635.47,Категория 4,Списание,в обработке,37.28
2025-11-06,Продавец 17,309.31,Категория 4,Списание,в обработке,0.0
2025-11-09,Продавец 24,26.51,Категория 1,Списание,Выполнен,0.0
2025-11-09,Продавец 30,301.22,Категория 1,Списание,Выполнен,8.06
2025-11-09,Продавец 22,491.98,Категория 5,Списание,Выполнен,18.03
2025-11-09,Продавец 18,400.95,Категория 21,Списание,Выполнен,17.05
2025-11-11,Продавец 11,237.26,Категория 1,Пополнение,Выполнен,0.0
2025-11-12,Продавец 7,520.2,Категория 1,Списание,Выполнен,11.69
2025-11-13,Продавец 30,211.45,Категория 4,Списание,Выполнен,10.56
2025-11-13,Продавец 33,536.56,Категория 1,Списание,Выполнен,20.71
2025-11-13,Продавец 16,1308.71,Категория 2,Списание,Выполнен,34.62
2025-11-13,Продавец 26,408.62,Категория 5,Списание,Выполнен,17.95
2025-11-13,Продавец 39,37.51,Категория 5,Пополнение,Выполнен,1.02
2025-11-15,Продавец 6,180.87,Категория 1,Списание,Выполнен,8.46
2025-11-15,Продавец 35,445.58,Категория 2,Списание,Выполнен,21.29
2025-11-17,Продавец 22,60.24,Категория 1,Списание,Выполнен,0.0
2025-11-17,Продавец 26,670.99,Категория 2,Списание,Выполнен,25.62
2025-11-18,Продавец 26,295.76,Категория 1,Списание,Выполнен,0.0
2025-11-18,Продавец 29,149.45,Категория 15,Списание,Выполнен,3.06
2025-11-18,Продавец 33,43.1,Категория 3,Пополнение,Выполнен,0.0
2025-11-18,Продавец 14,199.96,Категория 5,Пополнение,Выполнен,0.0
2025-11-20,Продавец 7,175.96,Категория 2,Списание,Выполнен,5.06
2025-11-20,Продавец 4,280.27,Категория 3,Списание,Выполнен,6.77
2025-11-21,Продавец 38,136.21,Категория 2,Списание,Выполнен,5.14
2025-11-23,Продавец 11,95.2,Категория 2,Списание,Выполнен,0.0
2025-11-24,Продавец 30,129.24,Категория 2,Списание,Выполнен,0.0
2025-11-24,Продавец 21,142.24,Категория 1,Списание,Выполнен,5.26
2025-11-24,Продавец 27,213.51,Категория 3,Списание,Выполнен,0.0
2025-11-25,Продавец 5,44.36,Категория 2,Списание,Выполнен,1.63
2025-11-27,Продавец 33,380.0,Категория 1,Списание,Выполнен,12.42
2025-11-27,Продавец 15,189.81,Категория 2,Списание,Выполнен,7.93
2025-12-01,Продавец 3,462.51,Категория 1,Списание,Выполнен,12.15
2025-12-01,Продавец 1,322.65,Категория 1,Пополнение,Выполнен,8.66
2025-12-02,Продавец 17,95.09,Категория 3,Списание,Выполнен,0.0
2025-12-03,Продавец 2,795.43,Категория 16,Списание,Выполнен,34.17
2025-12-04,Продавец 25,630.19,Категория 14,Списание,Выполнен,22.8
2025-12-05,Продавец 6,90.08,Категория 1,Списание,Выполнен,3.23
2025-12-06,Продавец 29,298.97,Категория 3,Списание,Выполнен,0.0
2025-12-07,Продавец 17,414.18,Категория 2,Списание,Выполнен,18.82
2025-12-07,Продавец 19,544.28,Категория 1,Списание,Выполнен,0.0
2025-12-07,Продавец 15,148.46,Категория 2,Списание,Выполнен,0.0
2025-12-07,Продавец 24,88.73,Категория 8,Списание,Выполнен,3.15
2025-12-08,Продавец 24,119.02,Категория 4,Списание,Выполнен,4.19
2025-12-09,Продавец 8,123.59,Категория 24,Списание,Выполнен,0.0
2025-12-09,Продавец 15,142.95,Категория 1,Списание,Выполнен,0.0
2025-12-09,Продавец 2,57.62,Категория 3,Списание,Выполнен,0.0
2025-12-10,Продавец 21,580.04,Категория 3,Списание,Выполнен,23.0
2025-12-11,Продавец 24,656.11,Категория 2,Пополнение,Выполнен,14.23
2025-12-11,Продавец 26,864.55,Категория 21,Списание,Выполнен,37.0
2025-12-12,Продавец 17,66.13,Категория 1,Списание,в обработке,1.61
2025-12-12,Продавец 26,159.89,Категория 1,Списание,Выполнен,4.07
2025-12-13,Продавец 7,137.05,Категория 1,Списание,Выполнен,3.88
2025-12-14,Продавец 5,212.92,Категория 4,Списание,Выполнен,7.0
2025-12-14,Продавец 2,159.52,Категория 2,Списание,Выполнен,0.0
2025-12-15,Продавец 16,153.74,Категория 3,Списание,Выполнен,3.45
2025-12-19,Продавец 34,61.16,Категория 1,Списание,Выполнен,1.68
2025-12-20,Продавец 13,381.57,Категория 2,Списание,Выполнен,0.0
2025-12-20,Продавец 22,136.96,Категория 1,Списание,в обработке,2.92
2025-12-20,Продавец 1,308.6,Категория 5,Списание,Выполнен,0.0
2025-12-20,Продавец 21,493.36,Категория 1,Списание,Выполнен,0.0
2025-12-20,Продавец 39,282.31,Категория 2,Списание,в обработке,11.49
2025-12-20,Продавец 28,81.26,Категория 2,Списание,Выполнен,0.0
2025-12-21,Продавец 17,79.2,Категория 4,Списание,в обработке,2.82
2025-12-24,Продавец 4,287.98,Категория 1,Пополнение,Выполнен,7.27
2025-12-25,Продавец 6,146.7,Категория 1,Пополнение,Выполнен,3.54
2025-12-27,Продавец 14,481.25,Категория 3,Списание,Выполнен,0.0
2025-12-27,Продавец 4,353.46,Категория 1,Списание,Выполнен,17.04
2026-01-01,Продавец 35,188.59,Категория 2,Списание,Выполнен,9.0
2026-01-01,Продавец 27,236.5,Категория 2,Списание,Выполнен,0.0
2026-01-01,Продавец 14,823.39,Категория 2,Списание,Выполнен,0.0
2026-01-02,Продавец 13,87.43,Категория 1,Списание,Выполнен,0.0
2026-01-02,Продавец 33,653.76,Категория 1,Списание,Выполнен,0.0
2026-01-02,Продавец 9,213.31,Категория 22,Пополнение,Выполнен,8.8
2026-01-03,Продавец 12,679.65,Категория 3,Списание,Выполнен,27.94
2026-01-03,Продавец 29,321.57,Категория 25,Списание,Выполнен,0.0
2026-01-04,Продавец 20,447.23,Категория 3,Списание,Выполнен,20.52
2026-01-05,Продавец 25,99.25,Категория 1,Списание,Выполнен,4.26
2026-01-06,Продавец 37,438.68,Категория 1,Списание,Выполнен,19.56
2026-01-07,Продавец 1,133.17,Категория 4,Списание,Выполнен,6.2
2026-01-08,Продавец 34,113.57,Категория 3,Списание,в обработке,2.69
2026-01-09,Продавец 7,260.57,Категория 5,Списание,Выполнен,8.29
2026-01-09,Продавец 21,176.22,Категория 4,Списание,Выполнен,7.71
2026-01-10,Продавец 29,383.68,Категория 1,Списание,Выполнен,14.52
2026-01-10,Продавец 9,355.29,Категория 16,Пополнение,Выполнен,8.43
2026-01-13,Продавец 10,68.14,Категория 2,Списание,Выполнен,0.0
2026-01-13,Продавец 30,836.79,Категория 4,Пополнение,Выполнен,21.27
2026-01-15,Продавец 21,174.24,Категория 16,Списание,Выполнен,0.0
2026-01-15,Продавец 36,457.62,Категория 2,Пополнение,Выполнен,0.0
2026-01-15,Продавец 2,382.85,Категория 9,Списание,Выполнен,0.0
2026-01-15,Продавец 22,228.89,Категория 1,Списание,Выполнен,0.0
2026-01-16,Продавец 21,180.0,Категория 2,Списание,Выполнен,0.0
2026-01-18,Продавец 32,677.43,Категория 24,Пополнение,Выполнен,31.33
2026-01-18,Продавец 9,293.83,Категория 4,Списание,Выполнен,9.57
2026-01-18,Продавец 18,263.84,Категория 5,Списание,Выполнен,10.28
2026-01-19,Продавец 22,249.31,Категория 1,Списание,Выполнен,8.7
2026-01-19,Продавец 13,408.37,Категория 1,Пополнение,Выполнен,12.99
2026-01-19,Продавец 3,396.28,Категория 2,Списание,Выполнен,16.91
2026-01-19,Продавец 23,52.06,Категория 4,Списание,Выполнен,2.21
2026-01-21,Продавец 4,240.29,Категория 2,Списание,Выполнен,11.71
2026-01-23,Продавец 24,223.51,Категория 11,Списание,Выполнен,0.0
2026-01-23,Продавец 18,110.26,Категория 3,Списание,Выполнен,0.0
2026-01-23,Продавец 37,206.22,Категория 5,Списание,Выполнен,5.06
2026-01-24,Продавец 10,1130.44,Категория 2,Списание,Выполнен,29.04
2026-01-25,Продавец 36,698.98,Категория 1,Пополнение,Выполнен,0.0
2026-01-25,Продавец 38,296.15,Категория 4,Списание,Выполнен,0.0
2026-01-27,Продавец 39,46.18,Категория 22,Списание,Выполнен,1.93
2026-01-27,Продавец 8,1455.96,Категория 1,Списание,Выполнен,0.0
2026-01-27,Продавец 21,750.66,Категория 3,Списание,Выполнен,0.0
2026-02-01,Продавец 30,340.21,Категория 4,Списание,Выполнен,12.95
2026-02-03,Продавец 39,479.11,Категория 2,Списание,Выполнен,0.0
2026-02-03,Продавец 25,274.0,Категория 1,Списание,Выполнен,11.91
2026-02-03,Продавец 18,706.35,Категория 2,Пополнение,Выполнен,22.08
2026-02-04,Продавец 23,151.44,Категория 24,Списание,Выполнен,0.0
2026-02-07,Продавец 39,246.32,Категория 3,Списание,Выполнен,0.0
2026-02-08,Продавец 34,168.58,Категория 1,Списание,в обработке,6.28
2026-02-08,Продавец 2,68.64,Категория 3,Списание,Выполнен,2.32
2026-02-10,Продавец 13,242.17,Категория 1,Списание,Выполнен,6.28
2026-02-11,Продавец 22,432.5,Категория 2,Списание,Выполнен,0.0
2026-02-11,Продавец 24,157.65,Категория 1,Списание,Выполнен,0.0
2026-02-11,Продавец 16,205.53,Категория 5,Списание,Выполнен,6.6
2026-02-12,Продавец 21,178.46,Категория 5,Списание,Выполнен,7.26
2026-02-12,Продавец 4,214.61,Категория 1,Списание,Выполнен,9.68
2026-02-14,Продавец 21,263.12,Категория 1,Пополнение,Выполнен,0.0
2026-02-14,Продавец 24,308.89,Категория 22,Списание,Выполнен,8.01
2026-02-14,Продавец 27,68.74,Категория 4,Списание,Выполнен,2.39
2026-02-14,Продавец 29,96.47,Категория 4,Списание,Выполнен,2.95
2026-02-14,Продавец 24,38.08,Категория 1,Списание,Выполнен,1.0
2026-02-16,Продавец 15,453.6,Категория 1,Списание,Выполнен,0.0
2026-02-17,Продавец 38,509.15,Категория 1,Списание,Выполнен,0.0
2026-02-18,Продавец 27,160.55,Категория 3,Списание,Выполнен,7.97
2026-02-19,Продавец 16,138.12,Категория 1,Списание,Выполнен,2.89
2026-02-19,Продавец 24,81.58,Категория 3,Списание,Выполнен,3.15
2026-02-20,Продавец 23,127.32,Категория 5,Списание,Выполнен,0.0
2026-02-20,Продавец 11,175.02,Категория 4,Списание,Выполнен,0.0
2026-02-21,Продавец 10,823.16,Категория 2,Пополнение,Выполнен,40.15
2026-02-21,Продавец 27,780.14,Категория 1,Списание,в обработке,0.0
2026-02-21,Продавец 9,509.31,Категория 1,Списание,Выполнен,0.0
2026-02-22,Продавец 13,118.02,Категория 2,Списание,в обработке,4.45
2026-02-22,Продавец 1,40.11,Категория 2,Списание,Выполнен,0.98
2026-02-22,Продавец 35,317.82,Категория 13,Списание,Выполнен,7.04
2026-02-22,Продавец 38,203.99,Категория 4,Списание,Выполнен,0.0
2026-02-23,Продавец 32,163.09,Категория 1,Списание,Выполнен,6.18
2026-02-24,Продавец 5,528.67,Категория 3,Списание,Выполнен,0.0
2026-02-24,Продавец 9,136.89,Категория 1,Списание,Выполнен,6.05
2026-02-24,Продавец 2,63.44,Категория 13,Пополнение,Выполнен,1.32
2026-02-24,Продавец 21,1020.71,Категория 10,Списание,Выполнен,41.33
2026-02-25,Продавец 22,635.81,Категория 5,Списание,Выполнен,0.0
2026-02-25,Продавец 35,278.56,Категория 5,Списание,Выполнен,12.98
2026-02-25,Продавец 33,708.33,Категория 2,Пополнение,Выполнен,28.66
2026-02-27,Продавец 25,326.51,Категория 2,Списание,Выполнен,0.0
2026-02-27,Продавец 22,331.09,Категория 25,Пополнение,Выполнен,0.0
2026-02-27,Продавец 19,367.4,Категория 5,Списание,Выполнен,16.68
2026-03-01,Продавец 11,170.25,Категория 2,Пополнение,Выполнен,3.57
2026-03-01,Продавец 38,49.5,Категория 1,Списание,Выполнен,0.0
2026-03-01,Продавец 35,271.21,Категория 1,Списание,в обработке,0.0
2026-03-02,Продавец 36,115.33,Категория 1,Списание,Выполнен,0.0
2026-03-02,Продавец 36,285.41,Категория 1,Списание,Выполнен,6.31
2026-03-02,Продавец 29,292.71,Категория 5,Списание,Выполнен,11.5
2026-03-03,Продавец 11,1031.36,Категория 4,Пополнение,в обработке,0.0
2026-03-03,Продавец 24,1083.11,Категория 1,Списание,Выполнен,26.01
2026-03-03,Продавец 5,185.3,Категория 5,Пополнение,Выполнен,5.01
2026-03-03,Продавец 13,411.66,Категория 1,Списание,Выполнен,9.21
2026-03-04,Продавец 24,195.49,Категория 3,Списание,Выполнен,5.99
2026-03-04,Продавец 18,262.23,Категория 3,Списание,Выполнен,0.0
2026-03-05,Продавец 35,80.44,Категория 3,Списание,в обработке,0.0
2026-03-05,Продавец 11,222.44,Категория 1,Списание,Выполнен,0.0
2026-03-05,Продавец 23,172.22,Категория 1,Списание,в обработке,5.66
2026-03-06,Продавец 28,823.11,Категория 2,Списание,Выполнен,0.0
2026-03-07,Продавец 13,539.61,Категория 1,Списание,Выполнен,25.96
2026-03-07,Продавец 23,438.33,Категория 1,Списание,Выполнен,0.0
2026-03-07,Продавец 33,81.0,Категория 13,Списание,Выполнен,0.0
2026-03-07,Продавец 28,27.12,Категория 1,Списание,Выполнен,1.03
2026-03-08,Продавец 19,295.73,Категория 5,Списание,Выполнен,0.0
2026-03-09,Продавец 8,190.59,Категория 2,Списание,Выполнен,0.0
2026-03-09,Продавец 15,79.21,Категория 1,Списание,Выполнен,2.07
2026-03-10,Продавец 32,160.01,Категория 5,Списание,Выполнен,7.46
2026-03-11,Продавец 19,69.55,Категория 2,Списание,Выполнен,0.0
2026-03-12,Продавец 4,454.68,Категория 2,Списание,Выполнен,0.0
2026-03-12,Продавец 5,58.87,Категория 10,Списание,Выполнен,1.89
2026-03-13,Продавец 39,216.5,Категория 4,Списание,в обработке,8.04
2026-03-13,Продавец 29,1063.14,Категория 1,Списание,Выполнен,52.81
2026-03-13,Продавец 3,33.63,Категория 4,Списание,в обработке,0.76
2026-03-14,Продавец 12,303.71,Категория 1,Списание,Выполнен,14.02
2026-03-14,Продавец 10,1121.39,Категория 2,Списание,Выполнен,39.15
2026-03-14,Продавец 3,350.73,Категория 2,Списание,Выполнен,12.31
2026-03-15,Продавец 26,41.62,Категория 22,Списание,Выполнен,2.03
2026-03-16,Продавец 27,527.25,Категория 4,Списание,Выполнен,0.0
2026-03-16,Продавец 4,605.25,Категория 4,Списание,Выполнен,22.54
2026-03-16,Продавец 7,313.41,Категория 4,Списание,Выполнен,11.39
2026-03-17,Продавец 9,282.89,Категория 3,Списание,Выполнен,0.0
2026-03-18,Продавец 24,73.66,Категория 2,Списание,Выполнен,2.38
2026-03-19,Продавец 22,295.76,Категория 3,Списание,Выполнен,9.87
2026-03-19,Продавец 31,462.49,Категория 4,Списание,Выполнен,0.0
2026-03-20,Продавец 17,206.95,Категория 3,Списание,Выполнен,0.0
2026-03-21,Продавец 22,318.2,Категория 4,Списание,Выполнен,12.47
2026-03-21,Продавец 28,148.58,Категория 1,Списание,Выполнен,6.38
2026-03-21,Продавец 36,286.06,Категория 5,Списание,Выполнен,0.0
2026-03-21,Продавец 18,327.33,Категория 1,Пополнение,Выполнен,7.2
2026-03-22,Продавец 31,39.62,Категория 1,Списание,Выполнен,0.0
2026-03-23,Продавец 26,474.99,Категория 1,Списание,Выполнен,16.44
2026-03-23,Продавец 26,311.56,Категория 3,Списание,Выполнен,13.04
2026-03-24,Продавец 27,40.45,Категория 2,Списание,в обработке,1.66
2026-03-25,Продавец 34,300.7,Категория 3,Списание,Выполнен,9.35
2026-03-26,Продавец 14,415.58,Категория 3,Списание,Выполнен,20.72
2026-03-26,Продавец 12,172.09,Категория 1,Списание,Выполнен,8.32
2026-03-26,Продавец 24,101.48,Категория 4,Пополнение,Выполнен,4.19
2026-03-26,Продавец 33,306.88,Категория 2,Пополнение,Выполнен,0.0
2026-03-26,Продавец 26,179.74,Категория 4,Списание,Выполнен,8.01
2026-03-27,Продавец 3,335.76,Категория 4,Списание,Выполнен,13.29
2026-04-01,Продавец 10,354.17,Категория 4,Списание,Выполнен,13.33
2026-04-01,Продавец 8,652.51,Категория 1,Пополнение,Выполнен,14.95
2026-04-02,Продавец 4,317.86,Категория 1,Пополнение,Выполнен,8.42
2026-04-02,Продавец 20,94.89,Категория 1,Списание,Выполнен,2.0
